assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
,,,,,,20231101,,,Jordan Poole,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
0,0,2,1,2,0,20231101,12:00,2,Bilal Coulibaly,2,Q4,2,https://www.basketball-reference.com/boxscores/202311010ATL.html,1,WAS,1,0,1
0,0,2,1,2,2,20231024,5:00,0,Cam Reddish,4,Q4,2,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,0,0,0
1,0,6,4,2,0,20231201,7:21,2,Landry Shamet,11,Q4,0,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,3,3,0
,,,,,,20231201,,,Furkan Korkmaz,,Q4,,https://www.basketball-reference.com/boxscores/202312010BOS.html,,PHI,,,
0,0,0,0,0,0,20231201,2:30,0,KJ Martin,0,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,PHI,0,0,0
1,1,2,2,0,0,20231024,8:51,1,Eric Gordon,6,Q4,3,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,PHO,2,2,0
0,1,2,1,0,0,20231024,6:38,0,Drew Eubanks,2,Q4,3,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,PHO,0,0,0
0,0,0,0,0,0,20231101,5:18,0,Pat Connaughton,0,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,0
2,0,3,2,1,1,20231201,9:23,1,Santi Aldama,5,Q4,6,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,1,0,0
,,,,,,20231025,,,Dillon Brooks,,Q4,,https://www.basketball-reference.com/boxscores/202310250ORL.html,,HOU,,,
1,0,5,2,0,0,20231025,6:27,2,Amen Thompson,5,Q4,3,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,3,1,0
2,0,3,1,0,0,20231101,5:36,0,Skylar Mays,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010DET.html,0,POR,0,0,0
,,,,,,20231101,,,Moses Brown,,Q4,,https://www.basketball-reference.com/boxscores/202311010DET.html,,POR,,,
5,0,0,0,0,0,20231101,7:43,0,Delon Wright,0,Q4,2,https://www.basketball-reference.com/boxscores/202311010ATL.html,1,WAS,0,0,0
0,0,1,0,0,0,20231101,4:51,0,Danilo Gallinari,0,Q4,1,https://www.basketball-reference.com/boxscores/202311010ATL.html,0,WAS,0,0,0
,,,,,,20231025,,,Tyus Jones,,Q4,,https://www.basketball-reference.com/boxscores/202310250IND.html,,WAS,,,
0,0,1,1,2,1,20231024,5:56,0,Christian Wood,3,Q4,3,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,0,0,0
,,,,,,20231201,,,Johnny Davis,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
,,,,,,20231201,,,Patrick Baldwin Jr.,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
,,,,,,20231201,,,Jared Butler,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
,,,,,,20231201,,,Nicolas Batum,,Q4,,https://www.basketball-reference.com/boxscores/202312010BOS.html,,PHI,,,
,,,,,,20231201,,,Tyrese Maxey,,Q4,,https://www.basketball-reference.com/boxscores/202312010BOS.html,,PHI,,,
,,,,,,20231201,,,Jaden Springer,,Q4,,https://www.basketball-reference.com/boxscores/202312010BOS.html,,PHI,,,
0,0,2,1,0,0,20231024,4:36,0,Yuta Watanabe,2,Q4,0,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,PHO,1,0,0
0,0,1,1,0,0,20231101,5:58,1,Cameron Payne,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,1
0,0,0,0,0,0,20231101,3:05,0,Bobby Portis,0,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,1,MIL,0,0,1
2,0,4,3,0,0,20231201,9:05,2,Vince Williams Jr.,7,Q4,3,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,2,1,0
0,0,4,3,0,0,20231201,5:34,1,Jaylen Nowell,7,Q4,1,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,2,1,0
,,,,,,20231025,,,Jae'Sean Tate,,Q4,,https://www.basketball-reference.com/boxscores/202310250ORL.html,,HOU,,,
1,0,2,1,0,0,20231025,4:06,1,Jeff Green,2,Q4,2,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,0,0,1
,,,,,,20231101,,,Kris Murray,,Q4,,https://www.basketball-reference.com/boxscores/202311010DET.html,,POR,,,
,,,,,,20231101,,,Rayan Rupert,,Q4,,https://www.basketball-reference.com/boxscores/202311010DET.html,,POR,,,
1,0,11,3,3,3,20231101,12:00,3,Cade Cunningham,9,Q4,3,https://www.basketball-reference.com/boxscores/202311010DET.html,0,DET,2,0,3
1,0,1,1,0,0,20231101,12:00,4,Royce O'Neale,3,Q4,1,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,1,1,1
,,,,,,20231101,,,Corey Kispert,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
1,0,2,1,0,0,20231101,4:51,0,Landry Shamet,2,Q4,0,https://www.basketball-reference.com/boxscores/202311010ATL.html,1,WAS,1,0,0
2,0,3,1,5,4,20231025,12:00,2,Jayson Tatum,6,Q4,3,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,1,0,1
0,0,2,0,0,0,20231025,2:30,0,Jordan Poole,0,Q4,1,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,0,0,0
0,0,2,1,0,0,20231025,2:30,0,Kyle Kuzma,2,Q4,0,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,1,0,0
,,,,,,20231024,,,Rui Hachimura,,Q4,,https://www.basketball-reference.com/boxscores/202310240DEN.html,,LAL,,,
,,,,,,20231201,,,Anthony Gill,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
0,1,1,1,2,2,20231201,8:07,3,Jaylen Brown,4,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,1,BOS,0,0,0
2,0,2,1,0,0,20231024,6:38,0,Jordan Goodwin,2,Q4,1,https://www.basketball-reference.com/boxscores/202310240GSW.html,1,PHO,1,0,1
,,,,,,20231024,,,Nassir Little,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
0,0,3,2,2,2,20231101,6:42,0,MarJon Beauchamp,8,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,3,2,0
3,0,1,1,0,0,20231101,6:21,2,Andre Jackson Jr.,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,1,MIL,0,0,0
1,1,2,1,0,0,20231201,9:59,0,Xavier Tillman Sr.,2,Q4,1,https://www.basketball-reference.com/boxscores/202312010DAL.html,1,MEM,1,0,0
0,0,1,0,0,0,20231201,3:36,0,Ziaire Williams,0,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,1
0,1,0,0,0,0,20231025,7:12,0,Reggie Bullock,0,Q4,1,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,0,0,0
1,1,1,0,0,0,20231101,6:03,1,Marvin Bagley III,0,Q4,1,https://www.basketball-reference.com/boxscores/202311010DET.html,0,DET,0,0,2
0,0,2,0,0,0,20231101,4:54,0,Cam Thomas,0,Q4,2,https://www.basketball-reference.com/boxscores/202311010MIA.html,0,BRK,2,0,0
0,0,4,3,1,1,20231101,4:17,2,Johnny Davis,7,Q4,0,https://www.basketball-reference.com/boxscores/202311010ATL.html,2,WAS,0,0,0
0,0,4,2,2,1,20231101,4:51,1,Eugene Omoruyi,5,Q4,1,https://www.basketball-reference.com/boxscores/202311010ATL.html,0,WAS,1,0,1
1,0,0,0,0,0,20231025,7:24,1,Jaylen Brown,0,Q4,3,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,0,0,2
0,0,5,2,6,6,20231025,11:47,0,Kristaps Porziņģis,12,Q4,2,https://www.basketball-reference.com/boxscores/202310250NYK.html,0,BOS,4,2,0
0,0,0,0,2,2,20231025,4:16,0,Daniel Gafford,2,Q4,1,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,0,0,0
0,0,0,0,0,0,20231025,4:14,0,Deni Avdija,0,Q4,0,https://www.basketball-reference.com/boxscores/202310250IND.html,0,WAS,0,0,0
0,0,0,0,0,0,20231024,1:15,0,Jaxson Hayes,0,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,0,0,0
0,0,0,0,0,0,20231024,1:15,0,Max Christie,0,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,0,0,0
,,,,,,20231201,,,Mike Muscala,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
,,,,,,20231201,,,Eugene Omoruyi,,Q4,,https://www.basketball-reference.com/boxscores/202312010ORL.html,,WAS,,,
3,0,4,3,0,0,20231201,8:51,0,Paolo Banchero,6,Q4,4,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,ORL,0,0,0
2,0,3,1,2,2,20231201,12:00,1,Jrue Holiday,5,Q4,2,https://www.basketball-reference.com/boxscores/202312010BOS.html,1,BOS,1,1,2
1,1,2,1,4,4,20231201,12:00,1,Al Horford,6,Q4,0,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,BOS,1,0,1
,,,,,,20231024,,,Udoka Azubuike,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
,,,,,,20231024,,,Keita Bates-Diop,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
,,,,,,20231024,,,Bol Bol,,Q4,,https://www.basketball-reference.com/boxscores/202310240GSW.html,,PHO,,,
1,0,2,2,0,0,20231101,5:31,0,Chris Livingston,5,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,1,1,0
1,0,1,1,0,0,20231101,5:31,1,A.J. Green,2,Q4,1,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,0
0,0,0,0,0,0,20231201,2:01,0,Jacob Gilyard,0,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
0,0,0,0,0,0,20231201,2:01,0,Shaquille Harrison,0,Q4,1,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
